,body,title,url,newspapaer_uid,host
0,"
Cuando los pulmones son débiles es más fácil que se desarrollen diversos trastornos como el asma, la enfermedad obstructiva crónica, cáncer de pulmón o infecciones como gripe y neumonía, por mencionar algunas, con ello se toma en cuenta que la alimentación es un factor crucial para la salud de todo ser humano, en Menú te diremos cuáles son los alimentos que pueden afectar tu salud pulmonar. 
Según información de la Fundación Neumors, los pulmones son los encargados de permitir la entrada de oxígeno y su salida como dióxido de carbono, lo cual se resume en el concepto de respiración (inhalación y exhalación). 
Leer también: 5 alimentos para combatir la alergia estacional
Un artículo de la Biblioteca Nacional de Medicina de los Estados Unidos señala que las personas saludables llegan a respirar hasta 25 mil veces por día, sin embargo, quienes padecen de dificultad para respirar pueden desarrollar trastornos graves que, en Estados Unidos son ubicados como una de las principales causas de muerte. 
Ahora bien, la alimentación puede ayudar a conseguir una buena salud y nutrición para los pulmones, así como para cada órgano que conforma nuestro cuerpo, por lo que los siguientes alimentos que te enlistamos, los expertos recomiendan comerlos muy de vez en cuando o eliminarlos de la alimentación diaria, con la finalidad de que no afecten tu salud pulmonar y al organismo, en general. 
Leer también: Estos alimentos no deben combinarse con medicamentos

Refrescos / Bebidas gaseosas 
Los refrescos y bebidas gasificadas tomados en exceso, no sólo pueden representar un riesgo para la salud pulmonar, sino para la salud en general, ya que según información de The Lung Health Institute, estas bebidas contienen altas cantidades de azúcares, carbohidratos y calorías vacías, las cuales pueden desarrollar obesidad, hinchazón y deshidratación, así como enfermedades respiratorias. 
 (Foto: Pixabay)

Exceso de sal 
Una revisión publicada en la Revista Nacional de Enfermedades Respiratorias en México reveló que el consumo excesivo de sal podría estar asociada con la hipertensión pulmonar arterial secundaria y con la insuficiencia cardíaca, es importante medir la cantidad de sal que se consume a diario para evitar la retención de líquidos y sodio. Ojo, esto no quiere decir eliminarla por completo, porque nuestro cuerpo necesita sodio, pero es importante no exceder la cantidad permitida diariamente, la cual también depende de cada tipo de persona, pues hay que considerar edad y enfermedades. 
 (Foto: Pixabay)

Vegetales crucíferos
The Lung Health Institute recomienda que las personas que sufren de trastornos respiratorios pueden presentar mayor dificultad para respirar al consumir este tipo de vegetales en gran cantidad, esto es posible porque provocan hinchazón y gases en algunos casos.
Las verduras crucíferas son brócoli, col, rábanos y coliflor, aunque contienen una buena cantidad de nutrientes, podrían afectar a ciertas personas que tienen los pulmones débiles por lo que el instituto sugiere limitarlas o eliminarlas de la ingesta. 
 (Foto: Pixabay)
Leer también: Alimentos para los fumadores ​​​​​

Alimentos procesados
Este tipo de alimentos suele ser dañinos para la salud en general cuando se consumen muy seguido. Según información del sitio Eat This, estos productos, generalmente, están llenos de sal y grasas saturadas, los cuales ocasionan retención de líquidos y, como consecuencia de ello, perjudicar la respiración. Es importante que las personas que ya padecen de enfermedades respiratorias, midan el consumo de estos productos, al igual que las personas que padezcan hipertensión, sobrepeso y obesidad. 
 (Foto: Pixabay)

Embutidos 
Un estudio publicado en la Revista Nacional de Enfermedades Respiratorias en México señala que la dieta para la salud pulmonar debe estar conformada por el equilibrio de electrolitos en el organismo, lo cual toma en cuenta la presencia, en exceso, de sodio en el cuerpo, con ello apunta que los embutidos son alimentos ricos y altos en sodio y conservadores, por lo que recomienda medir la ingesta de los mismos para evitar la hinchazón, retención de líquidos y la hipertensión arterial. Sugiere cambiar estos alimentos por carnes de pescado que contengan vitamina D.
 (Foto: Pixabay)
",Alimentos que pueden perjudicar la salud pulmonar,http://www.eluniversal.com.mx/menu/que-alimentos-afectan-la-salud-de-los-pulmones,eluniversal,www.eluniversal.com.mx
1,"
La plática entre Pedro y su hijo fue interrumpida por dos asaltantes. Tras el robo, el señor abordó su automóvil y siguió a los delincuentes, quienes al saberse perseguidos, lo mataron.
 
Ayer después de las 2:00 de la tarde, el hombre de 46 años platicaba con su hijo —con el mismo nombre de su padre— en calles de la alcaldía Cuauhtémoc.
 
Mientras ellos hablaban, dos hombres se les acercaron para exigirles dinero y sus pertenencias.
 
Luego del atraco, los delincuentes escaparon en un coche Acura color negro.
 

Decide ir tras ellos
 
Al verlos escapar, el hombre decidió abordar su vehículo Dodge Attitude color blanco para ir tras los delincuentes.
 
Pero al llegar a la calle Alfredo Chavero,  los asaltantes se percataron de que Pedro los seguía, y por eso le dispararon.
 
Los testigos vieron a los agresores huir, mientras pedían una ambulancia. Al llegar, paramédicos y policías hallaron muerto al hombre. 
 
También arribaron los familiares de la víctima, entre ellos su hijo Pedro, quien declaró sobre lo ocurrido ante los agentes.
 
Más tarde, el vehículo en el que escaparon los homicidas fue hallado en la colonia Merced Balbuena. Dentro, encontraron la funda del celular de la víctima.
 
Foto: Armando Martínez/ EL GRÁFICO
 
lr / cg
","Tras asalto, persigue a delincuentes y lo matan a tiros en la Cuauhtémoc",http://www.eluniversal.com.mx/metropoli/cdmx/tras-asalto-persigue-delincuentes-y-lo-matan-tiros-en-la-cuauhtemoc,eluniversal,www.eluniversal.com.mx
2,"
En los últimos cinco días hábiles de semana, que recién concluyó, se dieron en el estado un total de 258 nuevos contagios de Covid-19, informó la Secretaría de Salud estatal (SESEQ).

Los contagios se dieron del lunes 6 al viernes 10 del julio; es decir, tan sólo en cinco días, periodo en el que se contabilizaron 120 horas, lo que indica que hubo 2.1 contagios cada hora, en promedio, en el estado de Querétaro.

El lunes pasado, de acuerdo a datos de la SESEQ, hubo 46 contagios de Covid-19, lo indica que se dieron casi dos casos por hora (1.9) o uno cada 30 minutos.

Para el martes 7 de julio, el nivel fue menor al día anterior, debido a que hubo 40 contagios, lo que equivale a 1.6 por hora.

El miércoles se reportaron 49, lo que indica que en Querétaro se presentaron 2.04 por día; el jueves se tuvieron 55, equivalente a 2.2 contagios por hora.

El viernes 11 de junio no sólo fue el día de mayor contagios en Querétaro durante toda la semana sino también en la pandemia, al registrar 68 casos, lo que equivale a se reportaron casi tres enfermos por hora (2.8).

De acuerdo al histórico de la SESEQ, se observa un incremento en contagios pues este viernes es el número más alto en la entidad de contagios de Covid-19 que se da en un día durante la pandemia, con lo que ya se supera a lo reportado el pasado 3 de junio, con 64 casos, que había sido la jornada más elevada de nuevos contagios.

Los 258 contagios reportados durante el periodo en referencia equivalen al 62% del total de los 414 casos activos, que se reportaron de coronavirus, hasta el viernes 10 de julio.

Cabe señalar el pasado domingo 5 de julio se tenía que 358 son casos activos y al pasar a 414, el 10 de julio, se dio un incremento de 56 contagios, equivalente a un aumento de 16%.

Hasta el viernes 10 de julio, Querétaro reportó 2 mil 623 casos de Covid-19 acumulados, mil 834 son altas sanitarias; 375 fallecimientos; y 414 son casos activos, de los cuales 223 son pacientes con sintomatología leve, aislamiento y manejo en su domicilio y 19 más están en recuperación en la Unidad Médica y de Aislamiento Covid-19.

Entre los casos activos se reportaron 172 pacientes hospitalizados; 80 se encuentran graves.

 

 
","Cada hora, Querétaro reporta 2 casos de Covid-19",https://www.eluniversalqueretaro.mx/portada/se-dan-2-casos-por-hora-salud,eluniversal,www.eluniversalqueretaro.mx
3,"

Durante la pandemia, mientras las construcciones estuvieron paradas, la delincuencia organizada aprovechó para hacerse de su propia flotilla de maquinaria pesada: revolvedoras, camiones y excavadoras (incluso material); todo eso fue robado de bodegas y obras.

En los tres meses de receso laboral obligatorio, la Fiscalía General de Justicia de la Ciudad de México (FGJ-CDMX) recibió 10 denuncias de empresas constructoras. Los delincuentes aplicaron el mismo modus operandi en todos los atracos: someten al velador o vigilante para luego llevarse los camiones, donde meten palas, picos, varillas, bultos de cemento, piedras y arena, para luego desaparecer sin rastro.

Una vez que iniciaron las indagatorias, los agentes establecieron una línea de investigación, en la que aparentemente una célula ligada a La Unión Tepito es la encargada de los robos. Según los primeros avances, todo ese equipo y el material lo intentan utilizar en construcciones de empresas fachada de esa organización, que utiliza para blanquear el efectivo.

Identificaron que las presuntas construcciones ligadas a La Unión de Tepito se ubican en las alcaldías Benito Juárez, Miguel Hidalgo, Álvaro Obregón, Magdalena Contreras y se han extendido a la zona sur de la Ciudad, donde están las bodegas en las que esconden toda la maquinaria pesada que roban, sobre todo en el sector de Topilejo, en la demarcación Tlalpan.
 También lee: Fiscalía indaga posible extorsión de funcionarios a restaurantes de la Cuauhtémoc

De manera paralela se incrementaron las denuncias de despojos, sobre todo en las alcaldías Cuauhtémoc, Benito Juárez, Miguel Hidalgo y Coyoacán, donde sujetos ligados también a La Unión Tepito se siguen adueñando de manera violenta de predios y terrenos que pertenecen a personas de la tercera edad, familias de escasos recursos y sin posibilidad de establecer una batalla legal contra ellos.

De acuerdo con la carpeta de investigación con folio FIZP/IZP-8/ UI-1/C/D/00541/07-2020, los delincuentes hacen rondines por las construcciones que planean robar y así es como obtienen la información de qué maquinaria y material tienen, para luego asaltarlos.

Aunque de momento no se ha logrado identificar al líder de esa célula criminal, no se descarta la posibilidad que la orquestadora sea una de las hermanas de Roberto Mollado Esparza, El Betito, pues ella es la que se encarga de administrar varios edificios de esa organización e incluso aparece como la representante de varias empresas inmobiliarias que han tomado auge en la Ciudad de México desde la administración pasada.
 También lee: Dueños de restaurantes acusan extorsiones de funcionarios de la Cuauhtémoc

Se sabe que esta organización está compuesta por al menos 20 personas, quienes son las encargadas de llevar a cabo los atracos, y otro número similar más para resguardar las bodegas.

En este sentido, una vez que se activen 100% las construcciones en la capital del país, se implementará un operativo de revisión de todas las maquinarias que se utilizaron en las obras en curso.

Los agentes confían en que de esa manera ubicarán el equipo robado e identificarán las construcciones de La Unión Tepito.
 
","""Unión Tepito"" le pega a la industria de la construcción",http://www.eluniversal.com.mx/metropoli/union-tepito-le-pega-la-industria-de-la-construccion,eluniversal,www.eluniversal.com.mx
4,"
Con los gimnasios cerrados debido al Covid-19 muchos se quedaron sin la oportunidad de poder entrenar como lo hacían normalmente  y decidieron recurrir a sus objetos en casa para sustituir las máquinas. Pero en el hogar inteligente se puede tener un coach virtual que ayude en los entrenamientos, tal como lo hace Liteboxer un saco para entrenar box con un toque de tecnología. 
Liteboxer es una plataforma que da a los usuarios la oportunidad de realizar un completo entrenamiento de boxeo en casa. Todd Dagres, el presidente de la empresa, decidió crear este dispositivo luego de darse cuenta de lo difícil que era entrenar este deporte sin los elementos que le brindaba su gimnasio. 
""Solo podía hacer ejercicio con un entrenador una vez por semana, y una vez por semana no es lo suficientemente bueno. Así que intenté replicar el entrenamiento en casa y compré una bolsa pesada. Fue solo una experiencia triste para mí. Era tan aburrido. Simplemente era tedioso y desagradable. La bolsa está colgada allí, y no te está haciendo nada, así que te sientes culpable golpeándola”, dijo Dagres.
Además, los sacos de boxeo caseros también requieren un sistema de suspensión y no siempre se mantienen en las mejores condiciones debido a su relleno y los golpes que reciben. Pero en este gadget  deportivo se soluciona eso. 
El objetivo de los creadores de este sistema es lograr que los usuarios ingresen a la plataforma tres veces por semana. Afirman que con esa constancia pueden ver resultados importantes en unos pocos meses. ""No solo te vuelves más fuerte, sino que también es un ejercicio mental y un gran alivio del estrés. Ayuda con tu agudeza mental, y es más que solo una máquina de cardio. Por eso queremos que la gente se hagan un hábito”, dijo Dagres.
Lee también: 5 apps para hacer ejercicio en casa 

Una alternativa tecno
Liteboxer busca ser un reemplazo para los sacos de box. Está equipado con un sistema de iluminación que guía al usuario a través del entrenamiento de su elección. Pero las luces no son aleatorias, el sistema trabaja con entrenadores expertos para proporcionar un ejercicio guiado a través de una aplicación que puede ejecutarse en iOS o Android.
Además de dirigir el entrenamiento con luces, voz y música este dispositivo también está equipado con sensores para proporcionar a los usuarios métricas sobre la fuerza, el tiempo y la precisión en sus golpes, lo que les permite ver su progreso a lo largo del tiempo.
Cuenta con varios modos de ejercicio incluido uno de entrenamiento que familiariza a los usuarios con el sistema. También tiene uno llamado Quick Play que utiliza una tecnología patentada para adaptar el sistema al ritmo de una canción. El usuario elige una, tres o cinco rondas, y simplemente boxea al ritmo de la música.
Además, Liteboxer ofrece la posibilidad de desafiar a los amigos a un mismo entrenamiento permitiéndoles ver los resultados del otro, esto porque los creadores consideran que los desafíos sociales son elementos clave para fomentar el hábito de ejercitarse.
Para poner en marcha este sistema la empresa ha recaudado un total de 6 millones de dólares en fondos. 2 millones los consiguieron de sus amigos y familiares, y los otros 4 millones a través de rondas de inversión de capital semillas a través de firmas como Will Ventures. 
Por ahora el sistema solo está siendo comercializado en Estados Unidos. De hecho esta es la semana de lanzamiento. El costo inicial por el hardware, que está disponible como preventa, es de mil 495 dólares. Además tiene que pagarse la suscripción a la app para acceder a todas las funciones y entrenamientos, esta tiene un precio de 29 dólares al mes.
Conoce más de cómo funciona en este video: 

 
",Lanzan saco de box inteligente para entrenar en casa,http://www.eluniversal.com.mx/techbit/lanzan-saco-de-box-inteligente-para-entrenar-en-casa,eluniversal,www.eluniversal.com.mx
5," 7 % PULSO SOCIAL2 Cruzar razas de perros es una de las prácticas más comunes. Se ha hecho de forma deliberada, aunque la mayoría de las “razas nuevas” no llega a ser certificada. Sin embargo, muchas sí lo han logrado, desatando un furor por los llamados perros de diseño o artificiales los cuales tienen la intención de quedarse.
Estas mascotas se han convertido en una moda (o lujo) que ganó terreno en Estados Unidos y Europa, y que ahora se extiende por el mundo. Los canes son producto de dos perros de raza pura, con el único propósito de crear perros más bonitos y con mejor salud.
Pero aquello que es atractivo, a veces conlleva dolor y sufrimiento, ya que estas mascotas (que llegan a costar hasta 2 mil dólares), tienen problemas médicos y psicológicos debido a su cruce, ya que durante el proceso, también se mezclan los problemas genéticos.
Sí, algunos viven sin presentar problemas de salud, pero una gran cantidad de perros de diseño son abandonados, enferman o mueren.
Las 5 razas de perros que menos ladran
Los detractores de estas razas híbridas señalan que este tipo de cruzas pone en riesgo al perro y a su especie en general. Mientras que sus defensores dicen que son más sanos que los de raza pura y que son más originales.
En De10.mx te mostramos cuáles son los perritos de diseño más populares, pero que también pueden presentar serios problemas de salud… ¡Mira!
Con información de Mis Animales y Perros QR
VIDEO:

 
 
 

Ver esta publicación en Instagram

Por mucho que le gusten estas comidas a tu #perro, hay ciertos alimentos que jamás debería probar ¡Protégelo! Para más consejos sigue nuestras redes sociales y visita de10.com.mx . . . . . . . #perrosgram #perrosdeinstagram #mascotasdeinstagram #mascotas #perrosfelices
Una publicación compartida de  De10.mx (@de10mx) el 11 Jul, 2020 a las 11:00 PDT


 ",,https://de10.com.mx/vivir-bien/las-razas-de-perros-artificiales-con-mas-problemas-de-salud,eluniversal,de10.com.mx
6,"
Revela Álvaro Delgado en la revista Proceso de esta semana que un testigo cuyo nombre clave es “Juan” entregó a la Fiscalía General de la República información clave sobre la desaparición, el 26 de septiembre de 2014, de los 43 estudiantes de la normal rural de Ayotzinapa.
“Juan” le narró a los encargados del caso que entró a Guerreros Unidos bajo las órdenes de los hermanos Casarrubias Salgado —Mario, Adán, Sidronio y Ángel—, y de Jesús Pérez Lagunas, El Güero Mugres.
Sobre la noche de la desaparición, dijo que detrás de los autobuses en los que los alumnos llegaron a Iguala iban camionetas con sicarios de Onésimo Marquina —un ex aliado que luego se volvió en contra de los Guerreros Unidos— “que luego supuestamente se ‘mezclaron’ con los jóvenes”.
De acuerdo con “Juan”, El Güero Mugres dirigió el operativo en contra de los alumnos. “¡Pártanles la madre!”, habría dicho. Este personaje, afirmó el testigo en una declaración firmada en febrero de este año, movilizó a la Policía Federal, al Ejército, a la Policía Estatal, a la Policía de Caminos, a la Federal Ministerial y a la Policía Municipal:
“Empiezan a atacar a los muchachos a balazos, no era algo dirigido contra ellos, pero al estar mezclados los muchachos con la gente de Onésimo, según informaron los halcones a Los Tilos (una de las células del grupo criminal, dirigida por Víctor Hugo Benítez Palacios y sus hermanos) fue que se debía contener y no se sabía quién era estudiante y quién no, el ataque fue general”.
El Güero Mugres, explicó “Juan”, estaba encargado de pagar los sobornos de Guerreros Unidos. En su nómina estaban, según la declaración consultada por el reportero de Proceso, soldados de los batallones 27 y 41, acantonados en Iguala.
Una parte de los alumnos detenidos aquella noche, dijo “Juan”, fue entregada a Los Tilos. A otros “se los llevó la Policía Estatal” a una casa en Iguala “para saber quiénes eran”. Y un grupo más —“tampoco se informó el número de personas que se llevaron— fue conducido en camionetas del Ejército a las instalaciones del 27 Batallón y “entregados a Nicolás Nájera… para destazar”. De acuerdo con “Juan”, los sicarios llevaban los cuerpos destazados al crematorio “y recogían y tiraban”.
Todo se fue informando por radio: Benítez Palacios le reportó los  hechos a Juan Salgado, alias El Indio, y este le pasó el reporte al Güero Mugres.
Como algunos muchachos habían muerto por los golpes, los delincuentes “decidieron matarlos a todos para no dejar ningún cabo suelto”.
“Juan” supo todo esto porque tenía un radio esa noche, y porque lo oyó decir en una reunión. Supo también que los cuerpos destazados fueron llevados al crematorio de una funeraria de Iguala y que los restos los trasladaron en bolsas a dos sitios: Coacoyula y los alrededores de Taxco.
A otro grupo de alumnos, dijo, Los Tilos los disolvieron en ácido y los echaron al drenaje.
“Juan” no quiso decir quiénes eran los militares comprados por Guerreros Unidos, ni quién estaba al mando de estos aquella noche, “pues ahora no tengo seguridad garantizada para proteger mi vida diaria”.
Su relato es extraño, como todo en este caso. En su declaración no aparece el personaje que fue mencionado a lo largo de miles de páginas del expediente del caso Iguala como un jefe regional o un “capitán de capitanes”: Gildardo López Astudillo, El Gil.
Los sicarios detenidos por la desaparición de los alumnos —y de los que el Protocolo de Estambul probó que no fueron torturados—  señalaron al Gil como el encargado de girar las instrucciones aquella noche. Las escuchas telefónicas recabadas por la DEA demuestran plenamente que fue El Gil quien difundió la idea de que Los Rojos estaban entrando a Iguala, y quien transmitió la orden de atacarlos. No existe ahora mención alguna de la célula que él dirigió, y que jugó un papel central aquella noche: El Gil no existe.
En la nueva versión ofrecida por el misterioso “Juan”, aparece en cambio un personaje que apenas figura en el expediente del caso, y del que prácticamente no existe rastro en las investigaciones que durante cinco años realizó la Comisión Nacional de Derechos Humanos.
Según “Juan”, ese personaje movilizó al Ejército, a los federales, a los estatales; ese personaje dio la orden de aniquilar a los alumnos, y ese personaje se esfumó de la faz de la tierra hasta que “Juan” lo trae a cuento cuando han pasado dos años de su muerte.
Un reporte de la antigua PGR consultado por el columnista señala que, debido a rencillas no aclaradas, El Gil mandó matar, desde la cárcel, al Güero Mugres. Pero sus enviados no lo encontraron.
En los años que pasaron desde la noche de Iguala, El Güero Mugres entró y salió de prisión en dos ocasiones y sobrevivió a un atentado ocurrido en 2017.
Una noche de marzo de 2018 lo cosieron a tiros en Tonatico. Apenas alguna nota se ocupó de dar cuenta de su muerte.
Ahora que El Gil no existe, el misterioso “Juan” responsabiliza al Güero Mugres de todo lo ocurrido en septiembre de 2014.
Raro, en efecto, como todo lo que rodea a este caso.

@hdemauleon[email protected]
","Ahora que ""El Gil"" no existe",https://www.eluniversal.com.mx/opinion/hector-de-mauleon/ahora-que-el-gil-no-existe,eluniversal,www.eluniversal.com.mx
7,"
La Red Estatal de Parques de San Luis Potosí informó que, en el marco de la nueva normalidad, en las últimas tres semanas de reactivación de los parques urbanos y regionales Tangamanga I y II, Tantocob y Los Azahares se tuvo un ingreso escalonado con protocolos que continúan mejorándose, debido a que se mantienen las restricciones por el semáforo epidemiológico naranja en el estado.

Enrique Alfonso Obregón, director administrativo de los Centros Estatales de Cultura y Recreación Tangamanga I y II, explicó que estos recintos son los de mayor presencia de usuarios y usuarias, seguidos en orden descendente por Tantocob y luego Los Azahares, por lo que se hizo un llamado a la comprensión y respeto a las reglas y recomendaciones establecidas de acuerdo con los protocolos del Comité Estatal para la Seguridad en Salud.

Indicó que durante la permanencia de las y los usuarios al interior de los centros, se deben respetar diversas reglas para prevenir contagios de Covid-19, como depositar los cubrebocas en los contenedores dispuestos para esto, no formar grupos de más de dos personas, respetar los límites de velocidad permitidos de 20 km/h para ciclistas y vehículos.

Las administraciones de los parques agradecieron a los visitantes la colaboración que se ha mostrado con el personal de recepción y vigilancia encargado de hacer cumplir las nuevas disposiciones, como el uso de cubrebocas, toma de temperatura y aplicación de alcohol en gel en la entrada.

El funcionario pidió a la población recordar que aún no está permitido el acceso a personas consideradas como población de riesgo ante el Covid-19, como mayores de 60 años, menores de 15 y embarazadas.

Las actividades prioritarias son las relacionadas al deporte individual, como caminar, trotar, correr, andar en bicicleta y ejercicios funcionales con el respeto a la sana distancia de cuatro metros entre corredores y de 10 metros entre ciclistas.

La Red de Parques indicó que mientras San Luis Potosí permanezca en semáforo naranja, se mantendrá el horario restringido de las 06:00 a las 11:00 horas, en donde a las 10:00 se dará paso al último acceso para contar con una hora para la desocupación.

etp
",Parques potosinos piden a visitantes comprensión ante protocolos de sanidad,https://sanluis.eluniversal.com.mx/municipios/11-07-2020/parques-potosinos-piden-visitantes-comprension-ante-protocolos-de-sanidad,eluniversal,sanluis.eluniversal.com.mx
8,"



    googletag.cmd.push(function() {
      googletag.display(""dfp-ad-top3_content"");
    });
  


La Secretaría de Educación Pública de Puebla (SEP), dio a conocer que a partir del 6 de julio, tutores y padres de familia podrán consultar los resultados del proceso de preinscripción para el ciclo escolar 2020-2021, y verificar en qué escuela deberán inscribir a las y los niños de nuevo ingreso, únicamente de educación básica.
Dicha información se podrá verificar en la página oficial de la dependencia www.sep.puebla.gob.mx, misma en la que estará disponible la carta de asignación que se deberá imprimir y presentar del 20 de julio al 7 de agosto, que es el periodo de inscripciones y que se realizará de manera presencial en cada plantel bajo las medidas sanitarias correspondientes y de sana distancia.
Al momento de ingresar al portal, los padres de familia y tutores deberán tener a la mano el comprobante que imprimieron durante el periodo de registro, de no contar con este, podrán ingresar con el NIA o CURP del alumno.
Los estudiantes que por alguna razón no hayan participado en el proceso de preinscripciones, podrán obtener un lugar al nivel correspondiente; deberán acudir a la escuela de su interés y verificar si existe espacio en cualquiera de ambos turnos.
Los planteles podrán hacer la recepción de los alumnos siempre y cuando tengan lugares disponibles, sobre todo en escuelas de baja demanda.
No habrá examen de admisión para Secundaria
La Secretaría recuerda que por segundo año consecutivo no habrá examen de admisión para nivel secundaria, ya que los criterios de asignación fueron con base en la necesidad educativa especial (en caso de tener alguna discapacidad), preferencia de los padres de familia, la capacidad del plantel, la cercanía al domicilio y si ya tienen hermanos en la escuela elegida.
En caso de dudas, la dependencia reitera a los padres y alumnos a mantenerse informados a través de redes sociales de la Secretaría de Educación o llamar a las líneas de atención telefónica: (222) 2 29 38 20 y (222) 2 29 38 25, o al 800 9008432.
 
",SEP Puebla: Checa los resultados de las preinscripciones 2020-2021,http://www.unionpuebla.mx/articulo/2020/07/06/educacion/sep-puebla-checa-los-resultados-de-las-preinscripciones-2020-2021,eluniversal,www.unionpuebla.mx
9,"
La Fiscalía General de la República (FGR) informó que la aeronave mexicana que trasladará al exdirector de Petróleos Mexicanos (Pemex), Emilio Lozoya Austin,  ya despegó de la Ciudad de México con rumbo a Madrid dónde será entregado por las autoridades españolas.
Indicó que la aeronave arribará a la capital española después de un vuelo de 13 horas y media, con escala técnica en Canadá, para esperar que se cumplan los trámites administrativos y migratorios respectivos.
La dependencia señaló que el agregado de la FGR en España y Europa, Luis Alejandro Cervantes Vázquez, viajará junto con Lozoya Austin en el vuelo de regreso.
Afirmó que una vez que hayan culminado los trámites y Lozoya Austin esté saliendo de España, la Fiscalía General de la República informará a los jueces de control  la hora aproximada de su llegada a la Ciudad de México.
También lee: Audiencia Nacional de España da luz verde a Interpol para extraditar a Emilio Lozoya a México 
Una vez que arribe, indicó, se aplicarán los protocolos de derechos humanos al extraditado,como parte de sus prerrogativas, y será revisado por un médico de la Fiscalía  General de la República para acreditar su integridad física.
Cumplidos estos procedimientos, nuevamente se les dará aviso a los jueces de control para que señalen fecha y hora de las audiencias iniciales.
rmlgv/ed
",Despega de CDMX avión que traerá a Emilio Lozoya de Madrid a México,http://www.eluniversal.com.mx/nacion/emilio-lozoya-despega-de-cdmx-avion-que-lo-traera-de-madrid-mexico,eluniversal,www.eluniversal.com.mx
